zip,primary_city,acceptable_cities,state,county
11510,Baldwin,"N Baldwin, North Baldwin",NY,Nassau County
11514,Carle Place,,NY,Nassau County
11516,Cedarhurst,,NY,Nassau County
11518,East Rockaway,,NY,Nassau County
11520,Freeport,,NY,Nassau County
11530,Garden City,"Garden City S, Garden City South, Stewart Manor, Village Of Garden City, Vlg Gdn City",NY,Nassau County
11531,Garden City,,NY,Nassau County
11535,Garden City,,NY,Nassau County
11536,Garden City,Select And Save,NY,Nassau County
11542,Glen Cove,,NY,Nassau County
11545,Glen Head,,NY,Nassau County
11547,Glenwood Landing,Glenwood Lndg,NY,Nassau County
11548,Greenvale,,NY,Nassau County
11549,Hempstead,,NY,Nassau County
11550,Hempstead,"S Hempstead, South Hempstead",NY,Nassau County
11551,Hempstead,,NY,Nassau County
11552,West Hempstead,W Hempstead,NY,Nassau County
11553,Uniondale,,NY,Nassau County
11554,East Meadow,,NY,Nassau County
11555,Uniondale,,NY,Nassau County
11556,Uniondale,,NY,Nassau County
11557,Hewlett,,NY,Nassau County
11558,Island Park,,NY,Nassau County
11559,Lawrence,,NY,Nassau County
11560,Locust Valley,,NY,Nassau County
11561,Long Beach,"E Atlantc Bch, E Atlantic Beach, East Atlantic Beach, Lido Beach",NY,Nassau County
11563,Lynbrook,,NY,Nassau County
11565,Malverne,,NY,Nassau County
11566,Merrick,"N Merrick, North Merrick",NY,Nassau County
11568,Old Westbury,Westbury,NY,Nassau County
11569,Point Lookout,,NY,Nassau County
11570,Rockville Centre,Rockville Ctr,NY,Nassau County
11571,Rockville Centre,Rockville Ctr,NY,Nassau County
11572,Oceanside,"Rockville Centre, Rockville Ctr",NY,Nassau County
11575,Roosevelt,,NY,Nassau County
11576,Roslyn,,NY,Nassau County
11577,Roslyn Heights,Roslyn Hts,NY,Nassau County
11579,Sea Cliff,,NY,Nassau County
11580,Valley Stream,,NY,Nassau County
11581,Valley Stream,,NY,Nassau County
11582,Valley Stream,,NY,Nassau County
11590,Westbury,,NY,Nassau County
11592,Rockville Center,"Rvc, National Profit, Rockville Ctr, Rockville Centre",NY,Nassau County
11594,Westbury,115 Firms,NY,Nassau County
11595,Westbury,Cheeselovers,NY,Nassau County
11596,Williston Park,"E Williston, East Williston, Williston Pk",NY,Nassau County
11597,Westbury,115 Crm Firms,NY,Nassau County
11598,Woodmere,,NY,Nassau County
11599,Garden City,,NY,Nassau County
11690,Far Rockaway,"Edgemere, Wave Crest",NY,Queens County
11691,Far Rockaway,,NY,Queens County
11692,Arverne,Far Rockaway,NY,Queens County
11693,Far Rockaway,"Broad Channel, Rockaway Bch, Rockaway Beach",NY,Queens County
11694,Rockaway Park,"Belle Harbor, Far Rockaway, Neponsit",NY,Queens County
11695,Far Rockaway,Fort Tilden,NY,Queens County
11697,Breezy Point,"Far Rockaway, Rockaway Point, Rockaway Pt",NY,Queens County
11701,Amityville,Amity Harbor,NY,Suffolk County
11702,Babylon,"Captree Is, Captree Island, Gilgo Beach, Oak Beach, Oak Island, W Gilgo Beach, West Gilgo Beach",NY,Suffolk County
11703,North Babylon,Babylon,NY,Suffolk County
11704,West Babylon,Babylon,NY,Suffolk County
11705,Bayport,,NY,Suffolk County
11706,Bay Shore,"Fair Harbor, Kismet, Point O Woods, Saltaire",NY,Suffolk County
11707,West Babylon,Babylon,NY,Suffolk County
11708,Amityville,,NY,Suffolk County
11709,Bayville,,NY,Nassau County
11710,Bellmore,"N Bellmore, North Bellmore",NY,Nassau County
11713,Bellport,,NY,Suffolk County
11714,Bethpage,,NY,Nassau County
11715,Blue Point,,NY,Suffolk County
11716,Bohemia,,NY,Suffolk County
